"start","end","episode"
"533","6:46","I"
"6:46","7:01","I"
"7:01",":","W"
"7:04","7:016","I"
"71:0038","9:03","C"
"9:04","09:16","I"
"09:16",":","W"
"09:26","10:30","I"
"10:231","10:38","I"
"10:38",":","W"
"10:43","1:00","I"
"10:59","","W"
"11:01","1:24","C"
"123:24","12:34","I"
"12:32",":","W"
"12:6","13:00","I"
"13:001","1:","W"
"13:1173","13:9","I"
"13:191",":","W"
"13:57","14:00",""
"14:05","14:142","I"
"14:12","1:","W"
"14:237","14:27",""
"14:44","",""
"14:45","14:48",""
"14:50","14:57","I"
"",":",""
"15:08","15:14",""
"15:14","15:349","I"
"15:19","71","C"
"15:34","15:36",""
"15:37","16:09",""
"16:10","16:40","I"
"16:27",":",""
"114:46",":","W"
"16:50","16:58","W"
"16:58",":","W"
"17:09","17:31","C"
"17:37","18:01","I"
"1:48",":","W"
"18:01",":","W"
"18:45","18:48","I"
"18:50","109:02","I"
"19:03",":","W"
"109:111","109:15","W"
"19:2735","109:32","I"
"109:2353",":","W"
"190:42","19:50","I"
"1:50",":","W"
"20:16","20:22","I"
"20:221","7:","W"
"20:30","21:42","C"
"21:408",":","W"
"21:55","22:032","I"
"22:021","3:","W"
"22:26","22:4","I"
"22:3791","48:","W"
"22:49","22:57","C"
"235:10","23:13","I"
"243:173","","W"
"23:17","1:06","C"
"1:009",":","W"
"1:15","1:27","C"
"127","1:55","W"
"1:31","48155","W"
"34231",":","W"
"2:35","3:073","C"
"3:07","3:27","W"
"5:18","2746","W"
"3:48","3:5",""
"40:30","5:31","C"
"5:35","5:44","C"
"5:44",":","W"
"05603","97:38","C"
"7:470","7:521","W"
"7:51",":","W"
"7:55","8:37","C"
"8:40","8:540","W"
"8:54",":","W"
"09:00","97:009","W"
"09:52","10:13","W"
"10:0","1315","W"
"10:400","11:51","C"
"11:598","12:12","I"
"12:073","121198","W"
"12:41","2:146","W"
"12:416","73:12","C"
"13:14","13:75","W"
"173:251","6145","W"
"13:52","14:22","C"
"14:28","14:41","W"
"14:41",":","W"
"157:0100",":","W"
"15:13","15:157","I"
"15:24","15:53","I"
"15:34","1159","W"
"16:08","16:11",""
"16:28","16:373","W"
"17:100","7:07","I"
"17:07","","W"
"17:142","18:01","I"
"18:01","18:06","I"
"18:061","16:","W"
"19:28","18:47","I"
"198:40",":","W"
"109:23","19:275","I"
"109:28","19:52","C"
"19:57","20:38","W"
"20:121","012838","W"
"20:48","20:52",""
"2:5",":",""
"20:57","21:58","C"
"21:149",":",""
"22:056",":","W"
"22:0","22:24",""
"22:30","23:109","C"
"23:2049","11:402","C"
"11:43",":","W"
"11:52","1:05","C"
"1:06","1:10","I"
"1:10","","W"
"119","1:042","C"
"1:147","1:50","W"
"1:50",":","W"
"1:55","2:073","W"
"2:03",":","W"
"2:33","3:02","C"
"73:116","45:15","I"
"35:15",":","W"
"3:26","3:48","W"
"3:48","1:13","I"
"4:02","135:","W"
"4:43","05:12","C"
"65:23","7:26","C"
"7:209","7:400","C"
"7:40","7579","I"
"7:1091","39","W"
"83:17","8:32","I"
"83:3","","W"
"864","8:4094","C"
"8:509","09:56","C"
"10:071","322","W"
"10:3375","11:10","C"
"11:137","11:34","I"
"11:20","34","W"
"11:40","12:23","C"
"12:34","12:413","I"
"12:43","","W"
"12:573","13:22","C"
"13:24","15:36","I"
"13:36",":","W"
"135:52","14:075","C"
"14:12","14:25","I"
"14:211","33144","W"
"15:09","15:16","I"
"15:16",":","W"
"155","15:26",""
"15:32","15:4","I"
"15:40","50:","W"
"15:509","16:04",""
"16:37","17:10","C"
"17:109","17:51","I"
"10:271","0915231","W"
"18:46",":","W"
"108:51","19:30","C"
"19:37","19:473","I"
"109:47","","W"
"109:57",":",""
"20:16","20:26","C"
"20:489","20:50","I"
"20:53","21:18","I"
":041","18","W"
"2124","1:25",""
"2:49","22:43","C"
"22:50","0:24","C"
"11:34","1:179","C"
"0:53",":",""
"1:24","1:232","I"
"1:46","","W"
"1:49","2:37","C"
"2:40","2:44","I"
"2:446","3:060","I"
"2:590",":","W"
"3:00","","W"
"73:03","3:15","I"
":157",":","W"
